t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
1956,19,4,15,0,0,0,19,4,15,0.017312448474855725,0.01896223012315144,-0.0016497816482957152,0.016887816646562116,0.018962576502458108,-0.002074759855895992,0.15011037527593818,27.78618557069946,0.01617126910753526
1957,18,4,14,1,0,1,17,4,13,0.017298187808896207,0.019000051490654445,-0.001701863681758238,0.016874246685415824,0.019045709703287887,-0.0021714630178720634,0.15011037527593818,27.800091853970788,0.015862002660202306
1958,9,1,8,0,0,0,9,1,8,0.0172946263125386,0.018992228112615164,-0.001697601800076564,0.016874246685415824,0.019047619047619046,-0.002173372362203222,0.15011037527593818,27.81345365824375,0.01553907177610411
1959,10,2,8,0,0,0,10,2,8,0.01728750771763737,0.018984411174563978,-0.0016969034569266073,0.016881028938906747,0.018966382338183638,-0.002085353399276891,0.15011037527593818,27.826216588887554,0.015199366679483269
1960,13,6,7,0,0,0,13,6,7,0.01726618705035971,0.018977576630322977,-0.001711389579963269,0.016860698514652744,0.018975903614457827,-0.002115205099805083,0.15011037527593818,27.83836257610244,0.014846504628313982
1961,7,1,6,0,0,0,7,1,6,0.01726263871763255,0.018971722365038562,-0.0017090836474060109,0.016867469879518066,0.018979714802169107,-0.0021122449226510416,0.15011037527593818,27.849884853310037,0.014481798056286006
1962,17,3,14,0,0,0,17,3,14,0.017252002464571776,0.018958076448828607,-0.0017060739842568312,0.016874246685415824,0.018977809016969573,-0.0021035623315537495,0.15011037527593818,27.860766315373585,0.014104566121614063
1963,8,1,7,0,0,0,8,1,7,0.017248459958932236,0.01895126084946844,-0.0017028008905362046,0.016887816646562116,0.018981620970171736,-0.0020938043236096195,0.15011037527593818,27.87097245373992,0.013713483171029566
1964,9,1,8,1,0,1,8,1,7,0.0172449189078218,0.018994814928897787,-0.001749896021075989,0.01690821256038647,0.019082052827156772,-0.0021738402667703036,0.15011037527593818,27.880499420365254,0.013311682671831086
1965,16,5,11,0,0,0,16,5,11,0.01722723543888433,0.018984094407388404,-0.0017568589685040756,0.016887816646562116,0.019080136573609154,-0.002192319927047038,0.15011037527593818,27.88930984184964,0.01289636567137684
1966,13,4,9,0,0,0,13,4,9,0.017213114754098358,0.018975332068311195,-0.0017622173142128363,0.016874246685415824,0.019080136573609154,-0.0022058898881933305,0.15011037527593818,27.89735862884778,0.01246713044661057
1967,12,2,10,1,0,1,11,2,9,0.01720606308889799,0.01901686401148188,-0.001810800922583889,0.016887816646562116,0.01917863239281052,-0.002290815746248405,0.15011037527593818,27.904666905710805,0.012030428992902225
1968,14,3,11,0,0,0,14,3,11,0.01719549641760491,0.019006147540983606,-0.001810651123378696,0.016881028938906747,0.019176706827309233,-0.0022956778884024864,0.15011037527593818,27.91119985352224,0.011581413988667705
1969,8,3,5,0,0,0,8,3,5,0.017184942716857606,0.019001280409731112,-0.0018163376928735063,0.016874246685415824,0.019197909337621867,-0.0023236626522060433,0.15011037527593818,27.916951885078195,0.011123130243751077
1970,14,4,10,0,0,0,14,4,10,0.017170891251022075,0.018991553621704634,-0.0018206623706825582,0.016860698514652744,0.019194050849160885,-0.0023333523345081403,0.15011037527593818,27.921904772478438,0.010654754689789134
1971,10,2,8,0,0,0,10,2,8,0.0171638741315897,0.018983779358338025,-0.0018199052267483251,0.016860698514652744,0.019197909337621867,-0.0023372108229691227,0.15011037527593818,27.926031568362717,0.010175834281169407
1972,14,4,10,1,1,0,13,3,10,0.01735402204981625,0.01897407047511891,-0.00162004842530266,0.01724137931034482,0.019190193911383498,-0.0019488146010386773,0.15011037527593818,27.929316732808324,0.00968778638114596
1973,9,1,8,0,0,0,9,1,8,0.017350479689732596,0.018966310515822298,-0.0016158308260897022,0.01724137931034482,0.019186338523355096,-0.0019449592130102757,0.15011037527593818,27.93175301145562,0.009191746703454406
1974,11,1,10,1,0,1,10,1,9,0.0173469387755102,0.019007715497419652,-0.0016607767219094516,0.01724137931034482,0.019284853354760944,-0.0020434740444161235,0.15011037527593818,27.93331834966023,0.008686720319432295
1975,9,2,7,0,0,0,9,2,7,0.017339861281109748,0.019000919399325775,-0.0016610581182160272,0.01724137931034482,0.0192964824120603,-0.002055103101715479,0.15011037527593818,27.934019815763268,0.008175784798997514
1976,11,1,10,1,0,1,10,1,9,0.017336324699163776,0.019042270778027365,-0.0017059460788635891,0.017255216693418934,0.01938724259166248,-0.0021320258982435447,0.15011037527593818,27.933831054347298,0.007656233565683877
