t,rfront,global_diff
301,0.0,2.441406249997595e-10
302,0.0,2.4414062499980617e-10
303,0.0,2.4414062499980607e-10
304,0.0,2.44140624999777e-10
305,0.0,2.441406249998157e-10
306,0.0,2.441406249998673e-10
307,0.0,2.441406249998729e-10
308,0.0,2.4414062499989675e-10
309,0.0,2.441406249998752e-10
310,0.0,2.441406249998248e-10
311,0.0,2.441406249998454e-10
312,0.0,2.441406249998006e-10
313,0.0,2.4414062499980653e-10
314,0.0,2.4414062499980384e-10
315,0.0,2.4414062499981465e-10
316,0.0,2.441406249998459e-10
317,0.0,2.4414062499985063e-10
318,0.0,2.441406249998371e-10
319,0.0,2.4414062499982173e-10
320,0.0,2.441406249998343e-10
321,0.0,2.441406249998565e-10
322,0.0,2.4414062499990093e-10
323,0.0,2.4414062499991763e-10
324,0.0,2.4414062499991303e-10
325,0.0,2.441406249998707e-10
326,0.0,2.4414062499986655e-10
327,0.0,2.4414062499989147e-10
328,0.0,2.441406249998678e-10
329,0.0,2.441406249998512e-10
330,0.0,2.441406249997924e-10
331,0.0,2.441406249998128e-10
332,0.0,2.4414062499984453e-10
333,0.0,2.441406249998867e-10
334,0.0,2.441406249998667e-10
335,0.0,2.441406249998642e-10
336,0.0,2.4414062499989804e-10
337,0.0,2.441406249999129e-10
338,0.0,2.441406249999157e-10
339,0.0,2.441406249999413e-10
340,0.0,2.441406249999037e-10
341,0.0,2.4414062499985947e-10
342,0.0,2.4414062499987927e-10
343,0.0,2.4414062499989194e-10
344,0.0,2.441406249999192e-10
345,0.0,2.441406249998922e-10
346,0.0,2.4414062499992203e-10
347,0.0,2.4414062499995615e-10
348,0.0,2.4414062499994064e-10
349,0.0,2.441406249998808e-10
350,0.0,2.441406249998721e-10
351,0.0,2.4414062499995946e-10
352,0.0,2.441406249999897e-10
353,0.0,2.4414062499997155e-10
354,0.0,2.441406249999902e-10
355,0.0,2.441406249999902e-10
356,0.0,2.441406249999781e-10
357,0.0,2.4414062499997647e-10
358,0.0,2.4414062499996106e-10
359,0.0,2.441406249999587e-10
360,0.0,2.44140624999963e-10
361,0.0,2.441406249999165e-10
362,0.0,2.4414062499999146e-10
363,0.0,2.44140624999973e-10
364,0.0,2.44140624999984e-10
365,0.0,2.441406250000126e-10
366,0.0,2.4414062500000066e-10
367,0.0,2.4414062500001157e-10
368,0.0,2.4414062499997776e-10
369,0.0,2.4414062499994565e-10
370,0.0,2.441406249998987e-10
371,0.0,2.4414062499992854e-10
372,0.0,2.441406249999042e-10
373,0.0,2.441406249999131e-10
374,0.0,2.441406249998889e-10
375,0.0,2.44140624999883e-10
376,0.0,2.4414062499990367e-10
377,0.0,2.441406249999133e-10
378,0.0,2.4414062499989985e-10
379,0.0,2.4414062499988723e-10
380,0.0,2.4414062499989923e-10
381,0.0,2.4414062499990745e-10
382,0.0,2.4414062499991867e-10
383,0.0,2.441406249999064e-10
384,0.0,2.4414062499990755e-10
385,0.0,2.441406249998987e-10
386,0.0,2.441406249998677e-10
387,0.0,2.4414062499986345e-10
388,0.0,2.4414062499988894e-10
389,0.0,2.441406249998776e-10
390,0.0,2.4414062499984924e-10
391,0.0,2.4414062499983755e-10
392,0.0,2.441406249998502e-10
393,0.0,2.441406249998448e-10
394,0.0,2.4414062499979004e-10
395,0.0,2.441406249997607e-10
396,0.0,2.441406249997681e-10
397,0.0,2.4414062499976595e-10
398,0.0,2.441406249997786e-10
399,0.0,2.441406249997612e-10
400,0.0,2.4414062499975525e-10
401,0.0,2.4414062499977226e-10
402,0.0,2.441406249997668e-10
403,0.0,2.441406249997555e-10
404,0.0,2.441406249996952e-10
405,0.0,2.441406249997129e-10
406,0.0,2.441406249996959e-10
407,0.0,2.441406249997129e-10
408,0.0,2.441406249997135e-10
409,0.0,2.4414062499968385e-10
410,0.0,2.44140624999688e-10
411,0.0,2.4414062499972097e-10
412,0.0,2.4414062499974863e-10
413,0.0,2.441406249997133e-10
414,0.0,2.4414062499968235e-10
415,0.0,2.4414062499966534e-10
416,0.0,2.441406249996637e-10
417,0.0,2.441406249996986e-10
418,0.0,2.441406249996459e-10
419,0.0,2.441406249996181e-10
420,0.0,2.441406249996365e-10
421,0.0,2.4414062499962186e-10
422,0.0,2.4414062499963324e-10
423,0.0,2.4414062499955864e-10
424,0.0,2.441406249996116e-10
425,0.0,2.4414062499959534e-10
426,0.0,2.441406249995873e-10
427,0.0,2.441406249995934e-10
428,0.0,2.44140624999612e-10
429,0.0,2.441406249996439e-10
430,0.0,2.441406249996475e-10
431,0.0,2.441406249996278e-10
432,0.0,2.4414062499962574e-10
433,0.0,2.441406249996891e-10
434,0.0,2.44140624999663e-10
435,0.0,2.441406249996317e-10
436,0.0,2.4414062499961995e-10
437,0.0,2.4414062499963825e-10
438,0.0,2.441406249996357e-10
439,0.0,2.4414062499965133e-10
440,0.0,2.441406249996732e-10
441,0.0,2.4414062499968235e-10
442,0.0,2.441406249997298e-10
443,0.0,2.441406249997388e-10
444,0.0,2.441406249997674e-10
445,0.0,2.441406249997679e-10
446,0.0,2.441406249997887e-10
447,0.0,2.4414062499972356e-10
448,0.0,2.441406249997196e-10
449,0.0,2.441406249996947e-10
450,0.0,2.44140624999667e-10
451,0.0,2.4414062499966343e-10
452,0.0,2.441406249996856e-10
453,0.0,2.4414062499975695e-10
454,0.0,2.441406249997505e-10
455,0.0,2.441406249997948e-10
456,0.0,2.441406249997891e-10
457,0.0,2.441406249997789e-10
458,0.0,2.4414062499981103e-10
459,0.0,2.441406249997915e-10
460,0.0,2.441406249997498e-10
461,0.0,2.441406249997927e-10
462,0.0,2.4414062499975974e-10
463,0.0,2.4414062499974744e-10
464,0.0,2.441406249997607e-10
465,0.0,2.4414062499975447e-10
466,0.0,2.44140624999721e-10
467,0.0,2.4414062499968726e-10
468,0.0,2.4414062499971663e-10
469,0.0,2.4414062499969553e-10
470,0.0,2.441406249996371e-10
471,0.0,2.441406249996573e-10
472,0.0,2.4414062499964394e-10
473,0.0,2.4414062499963737e-10
474,0.0,2.4414062499962977e-10
475,0.0,2.4414062499963805e-10
476,0.0,2.4414062499966514e-10
477,0.0,2.4414062499967806e-10
478,0.0,2.441406249996688e-10
479,0.0,2.4414062499966395e-10
480,0.0,2.4414062499966855e-10
481,0.0,2.441406249996721e-10
482,0.0,2.4414062499969734e-10
483,0.0,2.441406249996963e-10
484,0.0,2.4414062499971694e-10
485,0.0,2.441406249997515e-10
486,0.0,2.4414062499974863e-10
487,0.0,2.4414062499975194e-10
488,0.0,2.4414062499980726e-10
489,0.0,2.441406249997789e-10
490,0.0,2.4414062499978166e-10
491,0.0,2.4414062499977924e-10
492,0.0,2.441406249997647e-10
493,0.0,2.4414062499979986e-10
494,0.0,2.4414062499975545e-10
495,0.0,2.4414062499970934e-10
496,0.0,2.441406249997092e-10
497,0.0,2.4414062499967806e-10
498,0.0,2.441406249996846e-10
499,0.0,2.4414062499965335e-10
500,0.0,2.441406249996674e-10
