t,S_2_6,S_2_3,S_2_4,S_2_5
1.4100000000,0.3586317526,0.3522310980,0.2746095863,0.1723124614
1.4150000000,0.3469523601,0.3546410060,0.2760074486,0.1694399205
1.4200000000,0.3353610888,0.3570966206,0.2776256983,0.1668382025
1.4250000000,0.3238829961,0.3595960194,0.2794740187,0.1646711202
1.4300000000,0.3125436706,0.3621371838,0.2815644424,0.1631860118
1.4350000000,0.3013692283,0.3647180060,0.2839100778,0.1627093720
1.4400000000,0.2903863015,0.3673362951,0.2865225531,0.1635024522
1.4450000000,0.2796220181,0.3699897839,0.2894083039,0.1655035786
1.4500000000,0.2691039678,0.3726761362,0.2925647232,0.1683685923
1.4550000000,0.2588601524,0.3753929533,0.2959779152,0.1717600299
1.4600000000,0.2489189172,0.3781377811,0.2996234062,0.1754589090
1.4650000000,0.2393088623,0.3809081171,0.3034695870,0.1793348938
1.4700000000,0.2300587335,0.3837014166,0.3074822296,0.1833063545
1.4750000000,0.2211972987,0.3865150999,0.3116283151,0.1873173475
1.4800000000,0.2127532145,0.3893465579,0.3158783408,0.1913260981
1.4850000000,0.2047548968,0.3921931582,0.3202071984,0.1952992559
1.4900000000,0.1972304047,0.3950522507,0.3245941167,0.1992089221
1.4950000000,0.1902073357,0.3979211733,0.3290221478,0.2030310407
1.5000000000,0.1837127024,0.4007972561,0.3334775125,0.2067444877
1.5050000000,0.1777726934,0.4036778270,0.3379489682,0.2103305351
1.5100000000,0.1724121235,0.4065602153,0.3424272644,0.2137725260
1.5150000000,0.1676532721,0.4094417568,0.3469047000,0.2170556742
1.5200000000,0.1635137864,0.4123197974,0.3513747727,0.2201669406
1.5250000000,0.1600035537,0.4151916975,0.3558319067,0.2230949603
1.5300000000,0.1571210296,0.4180548361,0.3602712407,0.2258300038
1.5350000000,0.1548502225,0.4209066150,0.3646884637,0.2283639638
1.5400000000,0.1531597517,0.4237444633,0.3690796868,0.2306903614
1.5450000000,0.1520046421,0.4265658417,0.3734413428,0.2328043673
1.5500000000,0.1513302194,0.4293682478,0.3777701061,0.2347028356
1.5550000000,0.1510766650,0.4321492210,0.3820628290,0.2363843444
1.5600000000,0.1511829657,0.4349063476,0.3863164904,0.2378492407
1.5650000000,0.1515897043,0.4376372667,0.3905281535,0.2390996797
1.5700000000,0.1522407392,0.4403396754,0.3946949310,0.2401396496
1.5750000000,0.1530840809,0.4430113349,0.3988139567,0.2409749654
1.5800000000,0.1540722739,0.4456500761,0.4028823612,0.2416132135
1.5850000000,0.1551625019,0.4482538050,0.4068972518,0.2420636259
1.5900000000,0.1563165457,0.4508205083,0.4108556948,0.2423368664
1.5950000000,0.1575006613,0.4533482581,0.4147547016,0.2424447211
1.6000000000,0.1586854133,0.4558352165,0.4185912162,0.2423997099
1.6050000000,0.1598454809,0.4582796399,0.4223621043,0.2422146616
1.6100000000,0.1609594481,0.4606798822,0.4260641456,0.2419023221
1.6150000000,0.1620095853,0.4630343976,0.4296940259,0.2414750774
1.6200000000,0.1629816264,0.4653417429,0.4332483316,0.2409448519
1.6250000000,0.1638645473,0.4676005785,0.4367235456,0.2403232059
1.6300000000,0.1646503472,0.4698096697,0.4401160438,0.2396216017
1.6350000000,0.1653338358,0.4719678859,0.4434220938,0.2388517738
1.6400000000,0.1659124260,0.4740742005,0.4466378533,0.2380261257
1.6450000000,0.1663859332,0.4761276891,0.4497593714,0.2371580890
1.6500000000,0.1667563804,0.4781275278,0.4527825896,0.2362624030
1.6550000000,0.1670278076,0.4800729905,0.4557033446,0.2353552981
1.6600000000,0.1672060846,0.4819634463,0.4585173722,0.2344545798
1.6650000000,0.1672987255,0.4837983553,0.4612203117,0.2335796107
1.6700000000,0.1673147023,0.4855772656,0.4638077121,0.2327511840
1.6750000000,0.1672642575,0.4872998092,0.4662750391,0.2319912647
1.6800000000,0.1671587130,0.4889656974,0.4686176827,0.2313225586
1.6850000000,0.1670102735,0.4905747164,0.4708309665,0.2307678507
1.6900000000,0.1668318254,0.4921267236,0.4729101574,0.2303490586
1.6950000000,0.1666367293,0.4936216423,0.4748504768,0.2300859757
1.7000000000,0.1664386065,0.4950594577,0.4766471120,0.2299947591
1.7050000000,0.1662511216,0.4964402124,0.4782952297,0.2300863478
1.7100000000,0.1660877613,0.4977640024,0.4797899886,0.2303651286
1.7150000000,0.1659616135,0.4990309727,0.4811265550,0.2308282255
1.7200000000,0.1658851492,0.5002413136,0.4823001172,0.2314656896
1.7250000000,0.1658700120,0.5013952570,0.4833059020,0.2322616082
1.7300000000,0.1659268185,0.5024930728,0.4841391912,0.2331958693
1.7350000000,0.1660649759,0.5035350659,0.4847953393,0.2342461454
1.7400000000,0.1662925214,0.5045215726,0.4852697914,0.2353896861
1.7450000000,0.1666159868,0.5054529582,0.4855581019,0.2366046693
1.7500000000,0.1670402936,0.5063296146,0.4856559540,0.2378710465
1.7550000000,0.1675686801,0.5071519570,0.4855591791,0.2391709480
1.7600000000,0.1682026636,0.5079204227,0.4852637779,0.2404887693
1.7650000000,0.1689420367,0.5086354684,0.4847659406,0.2418110622
1.7700000000,0.1697848969,0.5092975685,0.4840620688,0.2431263261
1.7750000000,0.1707277089,0.5099072135,0.4831487975,0.2444247672
1.7800000000,0.1717653947,0.5104649083,0.4820230179,0.2456980638
1.7850000000,0.1728914483,0.5109711706,0.4806819006,0.2469391607
1.7900000000,0.1740980733,0.5114265298,0.4791229200,0.2481420990
1.7950000000,0.1753763364,0.5118315254,0.4773438800,0.2493018865
1.8000000000,0.1767163363,0.5121867061,0.4753429406,0.2504144048
1.8050000000,0.1781073855,0.5124926282,0.4731186463,0.2514763512
1.8100000000,0.1795382045,0.5127498547,0.4706699580,0.2524852096
1.8150000000,0.1809971308,0.5129589545,0.4679962869,0.2534392494
1.8200000000,0.1824723534,0.5131205004,0.4650975338,0.2543375457
1.8250000000,0.1839521884,0.5132350688,0.4619741349,0.2551800195
1.8300000000,0.1854254362,0.5133032384,0.4586271164,0.2559674962
1.8350000000,0.1868818987,0.5133255887,0.4550581631,0.2567017803
1.8400000000,0.1883132214,0.5133026992,0.4512697056,0.2573857467
1.8450000000,0.1897144090,0.5132351482,0.4472650367,0.2580234528
1.8500000000,0.1910866930,0.5131235112,0.4430484712,0.2586202732
1.8550000000,0.1924426362,0.5129683602,0.4386255737,0.2591830671
1.8600000000,0.1938119028,0.5127702623,0.4340034925,0.2597203877
1.8650000000,0.1952341047,0.5125297780,0.4291914676,0.2602427493
1.8700000000,0.1967218904,0.5122474604,0.4242016274,0.2607629716
1.8750000000,0.1982391065,0.5119238537,0.4190502825,0.2612966217
1.8800000000,0.1997340274,0.5115594916,0.4137600911,0.2618625782
1.8850000000,0.2011678291,0.5111548967,0.4083637863,0.2624837267
1.8900000000,0.2025161970,0.5107105784,0.4029106824,0.2631877723
1.8950000000,0.2037638978,0.5102270319,0.3974778112,0.2640080902
1.9000000000,0.2049008588,0.5097047372,0.3921869199,0.2649844192
1.9050000000,0.2059200693,0.5091441575,0.3872207301,0.2661630307
1.9100000000,0.2068165110,0.5085457385,0.3828058830,0.2675958211
1.9150000000,0.2075865993,0.5079099067,0.3791147328,0.2693377378
1.9200000000,0.2082278770,0.5072370692,0.3761473396,0.2714423135
1.9250000000,0.2087388364,0.5065276120,0.3737566199,0.2739559773
1.9300000000,0.2091188073,0.5057819000,0.3717716681,0.2769128238
1.9350000000,0.2093678806,0.5050002759,0.3700658219,0.2803317618
1.9400000000,0.2094868510,0.5041830600,0.3685601880,0.2842169052
1.9450000000,0.2094771699,0.5033305496,0.3672087067,0.2885604823
1.9500000000,0.2093409040,0.5024430194,0.3659851393,0.2933466665
1.9550000000,0.2090806962,0.5015207211,0.3648747890,0.2985549719
1.9600000000,0.2086997275,0.5005638840,0.3638696270,0.3041626184
1.9650000000,0.2082016796,0.4995727154,0.3629654436,0.3101458871
1.9700000000,0.2075906970,0.4985474016,0.3621601522,0.3164807492
1.9750000000,0.2068713488,0.4974881087,0.3614527537,0.3231430701
