t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
114,8.4375,0.0,365,0,6.710291112797947e-06,1.838435921314506e-08,0.43620774889314023,0.028508148104657294,0.12367376604363962,0.01013584310912668,1.54526417246753
115,8.385416666666666,0.0,365,0,4.984753044527468e-06,1.365685765623964e-08,0.4384881171865223,0.03179285514127359,0.12364247845551132,0.010185115609318899,1.54526417246753
116,8.385416666666666,0.0,365,0,3.6815640960101947e-06,1.0086476975370396e-08,0.43345164120973423,0.028677673784365896,0.12364247100332738,0.010185115732480172,1.54526417246753
117,8.385416666666666,0.0,365,0,2.7372890680534666e-06,7.499422104256073e-09,0.4333283972536284,0.028061498991747664,0.12364246546342682,0.010185115817677212,1.54526417246753
118,8.385416666666666,0.0,365,0,2.0430333963878464e-06,5.5973517709256066e-09,0.4316992920952791,0.027818578061231967,0.12364246133657017,0.01018511587418753,1.54526417246753
119,8.385416666666666,0.0,365,0,1.5264546649752744e-06,4.182067575274724e-09,0.43087114027397744,0.027745717563276602,0.12364245824939703,0.01018511591137688,1.54526417246753
120,8.385416666666666,0.0,362,0,0.18000113484863706,0.0004972407040017598,0.994406334503241,0.9999937166692379,0.1241188091742035,0.010183074610996917,1.4766158983204878
121,8.34375,0.0,362,0,0.16383943793035582,0.00045259513240429784,0.9596148638058127,0.2602399827273207,0.12449878428489644,0.010251732460152674,1.4766158983204878
122,8.34375,0.0,363,0,0.14200312026205963,0.0003911931687660045,0.8181106272116118,0.1351417917925809,0.12447463216358641,0.010272721442955431,1.4766158983204878
123,8.34375,0.0,363,0,0.10443118215932451,0.00028768920705048075,0.66627382361679,0.08633536917606688,0.1244072238636627,0.010290951716967707,1.4766158983204878
124,8.34375,0.0,364,0,0.07336921985676917,0.00020156379081529992,0.6044862488214157,0.07047609946874091,0.1243386570272964,0.010301412278291266,1.4766158983204878
125,8.34375,0.0,364,0,0.05131820982026679,0.00014098409291282086,0.562113572173811,0.06111759270398701,0.12428098133519276,0.010306742366050137,1.4766158983204878
126,8.34375,0.0,365,0,0.03604172767343036,9.874445937926126e-05,0.5368890905478987,0.05625266927907385,0.12423533679905435,0.010309608819061159,1.4766158983204878
127,8.276041666666666,0.0,365,0,0.025360906099158965,6.948193451824374e-05,0.5209140682931609,0.05414169444425847,0.12076874977943922,0.010345750749416651,1.4766158983204878
128,8.276041666666666,0.0,365,0,0.017968968099884852,4.9230049588725624e-05,0.5104864328566606,0.05594597214262746,0.12074323273893338,0.010346831192343756,1.4766158983204878
129,8.276041666666666,0.0,365,0,0.012868978289328838,3.525747476528449e-05,0.5041786933275106,0.05868671909894276,0.1207242224274513,0.01034776696386718,1.4766158983204878
130,8.276041666666666,0.0,365,0,0.009289935315330781,2.5451877576248718e-05,0.5009792991521078,0.06228373191519362,0.12071020335796127,0.010348320351499244,1.4430608936820681
131,8.276041666666666,0.0,365,0,0.006760514122078808,1.8521956498846047e-05,0.49880734475729904,0.066145042581106,0.12069980772178009,0.01034864889610649,1.4430608936820681
132,8.276041666666666,0.0,365,0,0.004951616710420352,1.356607317923384e-05,0.4986526571942411,0.06989985543361732,0.12069208328449545,0.010348844081285719,1.4430608936820681
133,8.239583333333334,0.0,365,0,0.003650150866848027,1.0000413333830212e-05,0.5021588376480987,0.0737285338506797,0.12287014383533376,0.010405668664083888,1.4430608936820681
134,8.239583333333334,0.0,365,0,0.002687887333051129,7.364074885071587e-06,0.5044867046687639,0.07811672973020432,0.12286574784520916,0.01040573739215557,1.4430608936820681
135,8.239583333333334,0.0,365,0,0.0019996240688001272,5.4784221063017185e-06,0.5070542758313059,0.08201296521867524,0.12286250783003808,0.010405787252587064,1.4430608936820681
136,8.239583333333334,0.0,365,0,0.001496403432160702,4.0997354305772655e-06,0.5101279927834298,0.08559088699258392,0.12286009075289951,0.010405824174994211,1.4430608936820681
137,8.239583333333334,0.0,365,0,0.0011242699000838156,3.080191507078947e-06,0.5139779154707335,0.08903401969361598,0.12285827636167251,0.010405851689752442,1.4430608936820681
138,8.239583333333334,0.0,365,0,0.0008477489214543122,2.3225997848063348e-06,0.5179306273685685,0.09224687022014111,0.12285691033047201,0.010405872359912083,1.4430608936820681
