t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
6133,23,7,16,0,0,0,0.018037803780378038,0.01749350578575451,0.0005442979946235285,0.019457804984696105,0.017075596816976128,0.002382208167719977,0.15011037527593818,6.5482386046739585,0.0019830850184033816,1.0
6134,11,1,10,0,0,0,0.018037154377880185,0.017491917026919025,0.0005452373509611599,0.019483362521891416,0.017086927670869275,0.002396434851022141,0.15011037527593818,6.549342903517592,0.0019699616535062445,1.0
6135,32,9,23,1,0,1,0.018031311858916682,0.017497344072059638,0.0005339677868570446,0.0194535519125683,0.01713559228345586,0.0023179596291124406,0.15011037527593818,6.550421973473004,0.001955645898609628,1.0
6136,18,1,17,0,0,0,0.018030662923774563,0.017494643570468822,0.000536019353305741,0.019466316710411196,0.017143173146048775,0.002323143564362421,0.15011037527593818,6.5514908797022215,0.001941326733385902,1.0
6137,22,5,17,1,1,0,0.018063401820733332,0.017491943902328326,0.0005714579184050057,0.019680734747430567,0.01714791459232216,0.002532820155108407,0.15011037527593818,6.552528118134425,0.0019236308995443498,1.0
6138,29,2,27,1,0,1,0.01806210196812147,0.017496732975170612,0.0005653689929508571,0.019697964543663817,0.01718896810921351,0.0025089964344503085,0.15011037527593818,6.5535295946573076,0.0019041827655275094,1.0
6139,18,6,12,1,1,0,0.018094176049498183,0.017494827773946498,0.0005993482755516852,0.019899409577957574,0.017143173146048775,0.002756236431908799,0.15011037527593818,6.554513191902508,0.0018850315907784037,1.0
6140,28,7,21,1,1,0,0.018125584406243258,0.017491494669993196,0.0006340897362500618,0.02010050251256281,0.017025040075175503,0.003075462437387308,0.15011037527593818,6.555461442766984,0.0018629208662772304,1.0
6141,18,5,13,0,0,0,0.018122325698464635,0.017489431956312706,0.0006328937421519291,0.02008733624454148,0.01703728288527492,0.0030500533592665614,0.15011037527593818,6.556346718640301,0.0018369258968764322,1.0
6142,23,5,18,1,0,1,0.0181190681622088,0.01749564649542882,0.0006234216667799809,0.0200961118392311,0.017091653299408153,0.0030044585398229483,0.15011037527593818,6.55717921559822,0.0018105658749355698,1.0
6143,23,6,17,0,0,0,0.018115160664222557,0.017492949316695837,0.0006222113475267202,0.0200961118392311,0.017040110650069155,0.0030560011891619457,0.15011037527593818,6.557958186754745,0.001782847396506888,1.0
6144,25,3,22,1,0,1,0.018113207547169812,0.01749852667845324,0.0006146808687165738,0.020109289617486335,0.01709259873879854,0.003016690878687795,0.15011037527593818,6.5586837186883775,0.0017538681189456645,1.0
6145,17,3,14,0,0,0,0.018111254851228976,0.01749630583179976,0.0006149490194292152,0.020126886895646463,0.017093544282790286,0.003033342612856177,0.15011037527593818,6.559343319186681,0.001722485002310326,1.0
6146,21,5,16,0,0,0,0.018108001293428665,0.017493768411511443,0.0006142328819172226,0.020126886895646463,0.017089762734362038,0.0030371241612844255,0.15011037527593818,6.559937947519474,0.001689965754914072,1.0
6147,24,7,17,1,1,0,0.018139367816091954,0.017491073208750974,0.0006482946073409802,0.02034120734908136,0.01709070796460177,0.003250499384479591,0.15011037527593818,6.560494545872878,0.0016587401254192131,1.0
6148,22,5,17,0,0,0,0.01813611061231819,0.01748837883634321,0.0006477317759749808,0.02012248468941382,0.01709070796460177,0.0030317767248120506,0.15011037527593818,6.5609967385694565,0.00162482340466264,1.0
6149,19,2,17,0,0,0,0.01813480805831867,0.01748568529390447,0.0006491227644142006,0.020148926850635126,0.01709259873879854,0.0030563281118365856,0.15011037527593818,6.561436214818939,0.0015889875958074705,1.0
6150,26,2,24,0,0,0,0.01813350569140723,0.017481884057971013,0.0006516216334362182,0.02016217400832785,0.017078428121372908,0.0030837458869549424,0.15011037527593818,6.5617988764552395,0.0015507234907172175,1.0
6151,27,3,24,0,0,0,0.018131552491742066,0.017478084474389626,0.0006534680173524397,0.020193151887620716,0.017067108533554268,0.0031260433540664483,0.15011037527593818,6.562094487812551,0.0015122679801501243,1.0
6152,18,3,15,0,0,0,0.01812959971279842,0.017475710573257634,0.0006538891395407864,0.020215337288508016,0.017067108533554268,0.0031482287549537483,0.15011037527593818,6.562318624584037,0.0014723367884695458,1.0
6153,16,4,12,0,0,0,0.01812699666176101,0.0174738119165965,0.0006531847451645111,0.020219780219780215,0.017074653257445987,0.0031451269623342278,0.15011037527593818,6.56247972316283,0.001432150508323912,1.0
6154,24,3,21,0,0,0,0.018125044863972435,0.01747049025997538,0.0006545546039970554,0.020233120738948753,0.01706993702353331,0.003163183715415442,0.15011037527593818,6.562591177844104,0.0013921995167804227,1.0
6155,22,5,17,0,0,0,0.018121792801521514,0.017467802224655847,0.0006539905768656665,0.020233120738948753,0.01701657458563536,0.003216546153313394,0.15011037527593818,6.562663941693933,0.0013522902174398742,1.0
6156,30,5,25,0,0,0,0.018118541905855337,0.017463850733843676,0.0006546911720116608,0.020255394099515628,0.01701093560145808,0.0032444584980575487,0.15011037527593818,6.562672309693619,0.0013090615466052025,1.0
6157,13,3,10,0,0,0,0.01811659192825112,0.017462270638051464,0.0006543212901996553,0.020246478873239434,0.017020335985853226,0.0032261428873862075,0.15011037527593818,6.56258761523143,0.0012622716326517824,1.0
6158,20,3,17,0,0,0,0.018114642370327855,0.017459585131308745,0.0006550572390191106,0.02025985465756441,0.01696507515473033,0.003294779502834081,0.15011037527593818,6.562397396824955,0.0012134539768472708,1.0
6159,22,3,19,0,0,0,0.018112693231950073,0.01745658465991317,0.000656108572036903,0.02025985465756441,0.016860143725815367,0.0033997109317490427,0.15011037527593818,6.562149322498668,0.0011682106852697292,1.0
6160,21,3,18,0,0,0,0.018110744512982356,0.017453743059198033,0.0006570014537843234,0.02025985465756441,0.016857348145691703,0.003402506511872707,0.15011037527593818,6.56182874101046,0.0011208095493288237,1.0
6161,24,5,19,1,0,1,0.018107497579690917,0.017459786431820033,0.0006477111478708844,0.020264317180616737,0.016918228561950573,0.003346088618666164,0.15011037527593818,6.561411208158188,0.0010703797408442126,1.0
6162,18,7,11,0,0,0,0.01810295382850588,0.01745805005062925,0.0006449037778766299,0.020264317180616737,0.016916358007628945,0.003347959172987792,0.15011037527593818,6.56092791858299,0.0010221091642813663,1.0
