t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
4446,19,4,15,1,0,1,0.019960484320380972,0.018517357672103607,0.0014431266482773653,0.02029560997132142,0.01855797263960529,0.001737637331716127,0.15011037527593818,6.311209479869125,0.00200670295755483,1.0
4447,27,5,22,0,0,0,0.019955429497568882,0.01851225167638027,0.0014431778211886105,0.02028665931642778,0.018440670366010874,0.0018459889504169047,0.15011037527593818,6.31262540214434,0.0020128196106453237,1.0
4448,19,8,11,0,0,0,0.019947347104090726,0.018509699734322524,0.0014376473697682024,0.020264317180616737,0.018456187591158982,0.0018081295894577555,0.15011037527593818,6.3140626085668865,0.0020192725006728386,1.0
4449,23,7,16,2,1,1,0.019990890227238222,0.018518518518518517,0.0014723717087197045,0.020466549295774645,0.01851644035461789,0.0019501089411567557,0.15011037527593818,6.315514347979483,0.0020234491954491457,1.0
4450,25,9,16,0,0,0,0.01998178874949413,0.018514806834694593,0.0014669819147995374,0.020444053638162228,0.018518518518518517,0.0019255351196437107,0.15011037527593818,6.31695602461252,0.0020243216693524744,1.0
4451,29,10,19,0,0,0,0.0199716857113965,0.018510401142184427,0.0014612845692120735,0.020399210353147616,0.01846240179573513,0.001936808557412486,0.15011037527593818,6.318379234159145,0.0020228520528736086,1.0
4452,21,2,19,2,0,2,0.019969666329625886,0.018531039491147674,0.0014386268384782123,0.020412642669007896,0.018575677647454963,0.0018369650215529325,0.15011037527593818,6.319803899125578,0.00202160279014101,1.0
4453,25,6,19,0,0,0,0.01996361063378146,0.018526632033548224,0.0014369786002332366,0.02039473684210526,0.01851955777540827,0.0018751790666969893,0.15011037527593818,6.321217935129873,0.0020179240594362545,1.0
4454,21,3,18,0,0,0,0.019960584162918793,0.0185224584809081,0.0014381256820106929,0.020403685827117154,0.018536201763747682,0.001867484063369472,0.15011037527593818,6.322625375341626,0.0020130392157829374,1.0
4455,28,6,22,1,0,1,0.019954533973225563,0.018529871754770097,0.0014246622184554657,0.02039473684210526,0.01858297776779699,0.001811759074308271,0.15011037527593818,6.3240088709970115,0.002005394816559286,1.0
4456,22,4,18,1,0,1,0.01995050255063387,0.018538208473537394,0.0014122940770964765,0.020403685827117154,0.01863702705737061,0.001766658769746545,0.15011037527593818,6.325391143294496,0.001998130608382281,1.0
4457,21,4,17,0,0,0,0.01994647275665303,0.018534267133566783,0.001412205623086249,0.020403685827117154,0.01858402111054966,0.001819664716567495,0.15011037527593818,6.326765056434121,0.0019887728369722218,1.0
4458,22,5,17,1,0,1,0.019941437802907917,0.01854283106393088,0.001398606738977036,0.020399210353147616,0.01864749494495619,0.001751715408191426,0.15011037527593818,6.328145457987737,0.0019792684672353725,1.0
