t,L,S,P,tau_max,tau_mean,tau_gini,tau_topk_frac
158,1.0959043166818643,10,0.10959043166818642,0.20514228734696405,0.03535175215102788,0.7414983680011709,0.9320659770923797
159,1.123390003322287,10,0.1123390003322287,0.2095395632685581,0.03623838720394474,0.7254416297652153,0.9139664688392244
160,1.1353099839714544,10,0.11353099839714545,0.20979389544012106,0.036622902708756594,0.7082450630941329,0.9022130182489962
161,1.1286754559231855,10,0.11286754559231855,0.20569198884009496,0.036408885674941466,0.7129086228939826,0.9083697090740782
162,1.1346720134702117,10,0.11346720134702118,0.20149431351044408,0.03660232301516812,0.7167411496143659,0.9077820187372294
163,1.098747977340841,10,0.10987479773408411,0.2076284696283028,0.035443483140027134,0.7277838367891342,0.9157618937682271
164,1.1432348123418996,10,0.11432348123418996,0.20354772770176904,0.03687854233360967,0.7125542924849865,0.9063126512025159
165,1.1331929515490518,10,0.11331929515490517,0.20864175709071608,0.03655461134029199,0.717041930491723,0.9164105132338923
166,1.1341086503869633,10,0.11341086503869632,0.20768612806269576,0.036584150012482684,0.7226652116583144,0.9181942829183061
167,1.1636647290033335,10,0.11636647290033335,0.2044698552962203,0.03753757190333334,0.6907513967531294,0.8885971677779315
168,1.1726965169397747,10,0.11726965169397748,0.20793441431431606,0.03782891990128306,0.6920641649349176,0.8931748889341772
169,1.1624599929176642,11,0.10567818117433311,0.20099925619276912,0.03749870944895691,0.6939997255299568,0.8938363769212054
170,1.1645129675636112,11,0.10586481523305556,0.2023462673823593,0.03756493443753585,0.7045157444785266,0.899711426909532
171,1.1788691064110717,11,0.10716991876464288,0.20825435544037887,0.03802803569067973,0.6921332449082043,0.8902227908246275
172,1.143115399548881,11,0.10391958177717099,0.20114156061867647,0.03687469030802842,0.7042114523677214,0.900517586191636
173,1.1632433290298092,12,0.09693694408581743,0.20600986748034644,0.0375239783558003,0.7024400458918765,0.8964047154177476
174,1.1741531707576007,12,0.0978460975631334,0.20776701280321638,0.03787590873411615,0.6966479093706138,0.8910057360805909
175,1.1591027866550174,12,0.09659189888791812,0.20700234870201814,0.037390412472742496,0.7062505210840593,0.9052545342767891
176,1.1369670276502837,12,0.0947472523041903,0.20331710710105858,0.036676355730654316,0.718967753877345,0.9100464845655257
177,1.159884768881253,12,0.09665706407343776,0.2045050565189486,0.03741563770584687,0.6974582286002964,0.8923205973195749
178,1.1256085968106857,12,0.09380071640089048,0.20040749859231285,0.03630995473582857,0.7106327333064337,0.9051281363988744
179,1.1581779023767973,12,0.09651482519806644,0.20611440402170844,0.03736057749602572,0.7188099129597981,0.9105804874449033
180,1.1812465810673087,12,0.09843721508894239,0.20939618021626705,0.03810472842152609,0.6897496007313105,0.88670717475413
181,1.1399490475108547,12,0.09499575395923789,0.20666852824955548,0.03677254991970499,0.7154391632826412,0.911276288090573
182,1.1435323905931678,12,0.09529436588276398,0.20518556607522462,0.03688814163203767,0.7053281444677201,0.903156940970536
183,1.1667768946618753,12,0.09723140788848961,0.20486409606941308,0.03763796434393146,0.7021239588018872,0.9049269131804477
184,1.1625437342880895,12,0.09687864452400746,0.20872837755758533,0.03750141078348676,0.7079476777226513,0.9037183534314944
185,1.1357268605972743,12,0.09464390504977287,0.20810266790064072,0.03663635034184756,0.7223001002162758,0.9180214395069988
186,1.1460245286229422,12,0.09550204405191186,0.20401537651604487,0.03696853318138523,0.7140095630501865,0.909445141185194
187,1.1547065580334375,12,0.09622554650278646,0.20306084648869094,0.03724859864623992,0.7033087627872832,0.9011682471194368
188,1.1508756882519653,12,0.09590630735433044,0.20871471731377042,0.0371250222016763,0.7122290846491532,0.9043608344927119
189,1.1573876145391109,12,0.09644896787825924,0.20008117868715133,0.03733508433997132,0.7048856018431199,0.9011737173744544
190,1.152635424376323,12,0.09605295203136026,0.20894841587858218,0.03718178788310719,0.7192747297182367,0.9135711671931545
191,1.1547716315726062,11,0.1049792392338733,0.20403320374602985,0.03725069779266472,0.7136170117885173,0.9092257502943356
192,1.1490624707685155,11,0.10446022461531959,0.2075441251858083,0.03706653131511341,0.7153603381559216,0.9100396069012305
193,1.152694229868328,11,0.10479038453348437,0.2098872741341039,0.037183684834462195,0.7201047985191011,0.9098303969132754
194,1.1296526564290172,11,0.10269569603900157,0.20599390030598994,0.036440408271903785,0.7233152540084286,0.9144250413121886
195,1.1676875726281484,11,0.10615341569346803,0.20231025803871128,0.03766734105252092,0.6851201994958136,0.8820431848313451
196,1.1667360164995793,11,0.10606691059087084,0.20592864319412826,0.037636645693534816,0.6879987206781043,0.8823145511440262
197,1.1633371167816045,11,0.10575791970741859,0.20830315028583232,0.03752700376714853,0.6869969948425947,0.8855051210958141
198,1.1542354392737288,11,0.1049304944794299,0.2013040035049855,0.03723340126689448,0.7025458811816037,0.8970677015248112
199,1.1681469280361638,11,0.1061951752760149,0.20228523250988698,0.03768215896890851,0.6891133388286205,0.8884543229054294
