t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
340,5453,2035,3418,1709,1.6796068796068797,8642.800516432464,8.445349759460479,224.07074255443342,9.081953211743555,0.0,0.0,1.0,130,10,0,120,0,7,500,0
341,5492,2050,3442,1721,1.6790243902439024,8704.61405396059,8.445349759460479,224.07074255443342,9.14889635581046,0.0,0.0,1.0,135,15,0,120,0,12,500,0
342,5546,2070,3476,1738,1.6792270531400966,8790.202028999533,8.445349759460479,224.07074255443342,9.238153881233002,0.0,0.0,1.0,139,20,0,119,0,16,500,1
343,5564,2078,3486,1743,1.6775745909528392,8818.731354012512,8.445349759460479,224.07074255443342,9.27385689140202,0.0,0.0,1.0,150,8,0,142,0,4,500,1
344,5599,2093,3506,1753,1.6751075011944576,8874.205041537753,8.445349759460479,224.07074255443342,9.340800035468925,0.0,0.0,1.0,147,15,0,132,0,9,500,1
345,5623,2103,3520,1760,1.6737993342843558,8912.24414155506,8.445349759460479,224.07074255443342,9.385428798180195,0.0,0.0,1.0,150,10,0,140,0,7,500,0
346,5649,2113,3536,1768,1.673450070989115,8953.45316657381,8.445349759460479,224.07074255443342,9.430057560891466,0.0,0.0,1.0,140,10,0,130,0,8,500,0
347,5676,2128,3548,1774,1.6672932330827068,8996.247154093282,8.445349759460479,224.07074255443342,9.49700070495837,0.0,0.0,1.0,136,15,0,121,0,6,500,0
348,5702,2138,3564,1782,1.666978484565014,9037.456179112032,8.445349759460479,224.07074255443342,9.541629467669642,0.0,0.0,1.0,133,10,0,123,0,8,500,0
349,5722,2146,3576,1788,1.6663560111835973,9069.155429126455,8.445349759460479,224.07074255443342,9.577332477838658,0.0,0.0,1.0,136,8,0,128,0,5,500,1
350,5755,2161,3594,1797,1.6631189264229522,9121.459191650252,8.445349759460479,224.07074255443342,9.644275621905564,0.0,0.0,1.0,139,15,0,124,0,9,500,0
351,5797,2179,3618,1809,1.6603946764570905,9188.027616680542,8.445349759460479,224.07074255443342,9.724607394785851,0.0,0.0,1.0,148,18,0,130,0,11,500,1
352,5836,2194,3642,1821,1.659981768459435,9249.841154208667,8.445349759460479,224.07074255443342,9.791550538852757,0.0,0.0,1.0,153,15,0,138,0,11,500,1
