t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
371,6.291666666666667,0.043874172185430466,365,0,0.026671878368741214,7.307363936641429e-05,0.649772231801972,0.20201459457709375,0.1360448780636605,0.019078926701668632,2.041870905196191
372,6.291666666666667,0.04470198675496689,365,0,0.024806662772065648,6.796345964949493e-05,0.6406804246911304,0.1898685827518208,0.1360647272049408,0.01910414582349712,2.041870905196191
373,6.244791666666667,0.045037531276063386,365,0,0.022423375132022222,6.143390447129375e-05,0.6197734873531828,0.1400547398089565,0.13583414399671492,0.019232961310579125,2.041870905196191
374,6.244791666666667,0.045037531276063386,365,0,0.020465860304582882,5.6070850149542144e-05,0.606524339354512,0.1326363491341894,0.13586270144055843,0.01925644804388577,2.041870905196191
375,6.244791666666667,0.045037531276063386,362,1,0.07772092993722518,0.00021469870148404745,0.8996241689925558,0.7821459344743988,0.13616550237281264,0.01925814353861797,2.041870905196191
376,6.244791666666667,0.045037531276063386,362,1,0.06091736003539265,0.00016828000009776976,0.8750892771512978,0.5993405840310356,0.13643223202166363,0.019263264540698943,2.041870905196191
377,6.244791666666667,0.045037531276063386,361,1,0.057274913297521476,0.00015865626952222016,0.8524181629579741,0.514390593945254,0.13661354496017825,0.019268227308862913,2.041870905196191
378,6.244791666666667,0.045871559633027525,361,1,0.05485960194994124,0.00015196565637102836,0.8408232971798633,0.4542456996778269,0.1367861491952682,0.019272648299920057,2.041870905196191
379,6.177083333333333,0.048060708263069137,361,1,0.05595869683258897,0.00015501024053348746,0.8326823977842059,0.42692280680845407,0.13388664023771563,0.01938615800493181,2.041870905196191
380,6.177083333333333,0.048903878583473864,361,1,0.05253114129961181,0.00014551562686873078,0.8115866260896585,0.38357332594648996,0.134007103372357,0.01938540116129615,2.001280179051852
381,6.177083333333333,0.048903878583473864,361,1,0.049710043588831465,0.00013770095176961626,0.7934144562708809,0.35098595343886285,0.13414015206115537,0.01938266537432541,2.001280179051852
382,6.177083333333333,0.048903878583473864,361,1,0.047149189652119936,0.00013060717355157877,0.7780637418124656,0.3263985168072057,0.13427573596492445,0.019378780785699223,2.001280179051852
383,6.177083333333333,0.048903878583473864,362,0,0.04475022844076569,0.00012361941558222567,0.7647984356880115,0.3108804610115745,0.1344089698776604,0.019374269254937036,2.001280179051852
