t,rfront,global_diff
229,5.0,6.250000000011409e-10
230,5.0,6.250000000009728e-10
231,5.0,6.250000000009785e-10
232,5.0,6.250000000009549e-10
233,5.0,6.250000000012592e-10
234,5.0,6.25000000001232e-10
235,5.0,6.250000000012555e-10
236,5.0,6.250000000013081e-10
237,5.0,6.25000000001404e-10
238,5.0,6.250000000011753e-10
239,5.0,6.250000000009716e-10
240,5.0,6.250000000009398e-10
241,5.0,6.25000000000913e-10
242,5.0,6.250000000007125e-10
243,5.0,6.250000000005231e-10
244,5.0,6.250000000004692e-10
245,5.0,6.250000000007511e-10
246,5.0,6.250000000008967e-10
247,5.0,6.25000000000686e-10
248,5.0,6.250000000008639e-10
249,5.0,6.250000000007981e-10
250,5.0,6.250000000007237e-10
251,5.0,6.250000000008297e-10
252,5.0,6.250000000009844e-10
253,5.0,6.250000000008103e-10
254,5.0,6.250000000010158e-10
255,5.0,6.250000000007849e-10
256,5.0,6.250000000008863e-10
257,5.0,6.250000000007951e-10
258,5.0,6.250000000005303e-10
259,5.0,6.25000000000538e-10
260,5.0,6.250000000004006e-10
261,5.0,6.250000000007629e-10
262,5.0,6.250000000006735e-10
263,5.0,6.25000000000948e-10
264,5.0,6.250000000009228e-10
265,5.0,6.250000000005782e-10
266,5.0,6.250000000004175e-10
267,5.0,6.250000000003642e-10
268,5.0,6.250000000001944e-10
269,5.0,6.250000000004599e-10
270,5.0,6.250000000005348e-10
271,5.0,6.250000000006685e-10
272,5.0,6.250000000006711e-10
273,5.0,6.250000000006115e-10
274,5.0,6.250000000007725e-10
275,5.0,6.250000000004964e-10
276,5.0,6.250000000004651e-10
277,5.0,6.250000000004871e-10
278,5.0,6.250000000001873e-10
279,5.0,6.249999999999989e-10
280,5.0,6.249999999999937e-10
281,5.0,6.250000000000475e-10
282,5.0,6.249999999999903e-10
283,5.0,6.249999999999579e-10
284,5.0,6.250000000001769e-10
285,5.0,6.250000000000574e-10
286,5.0,6.250000000000909e-10
287,5.0,6.250000000001218e-10
288,5.0,6.250000000000872e-10
289,5.0,6.250000000002716e-10
290,5.0,6.250000000001131e-10
291,5.0,6.250000000002671e-10
292,5.0,6.24999999999976e-10
293,5.0,6.250000000000943e-10
294,5.0,6.249999999999807e-10
295,5.0,6.249999999999448e-10
296,5.0,6.250000000000783e-10
297,5.0,6.249999999999544e-10
298,5.0,6.250000000000223e-10
299,5.0,6.250000000002485e-10
300,5.0,6.250000000002939e-10
301,5.0,6.250000000002241e-10
302,5.0,6.250000000005205e-10
303,5.0,6.250000000004681e-10
304,5.0,6.250000000004389e-10
305,5.0,6.250000000005484e-10
306,5.0,6.250000000003754e-10
307,5.0,6.250000000002667e-10
308,5.0,6.250000000001002e-10
309,5.0,6.250000000003013e-10
310,5.0,6.250000000004893e-10
311,5.0,6.250000000004923e-10
312,5.0,6.250000000003626e-10
313,5.0,6.250000000003047e-10
314,5.0,6.250000000003233e-10
315,5.0,6.250000000003826e-10
316,5.0,6.250000000005173e-10
317,5.0,6.250000000005731e-10
318,5.0,6.250000000009697e-10
319,5.0,6.250000000011062e-10
320,5.0,6.250000000011434e-10
321,5.0,6.250000000009048e-10
322,5.0,6.250000000008077e-10
323,5.0,6.250000000008579e-10
324,5.0,6.250000000010952e-10
325,5.0,6.250000000010083e-10
326,5.0,6.250000000009242e-10
327,5.0,6.250000000009109e-10
328,5.0,6.250000000007697e-10
329,5.0,6.250000000007306e-10
330,5.0,6.250000000006264e-10
331,5.0,6.2500000000066e-10
332,5.0,6.250000000006526e-10
333,5.0,6.250000000007606e-10
334,5.0,6.250000000011699e-10
335,5.0,6.250000000012914e-10
336,5.0,6.250000000014731e-10
337,5.0,6.250000000016512e-10
338,5.0,6.250000000017696e-10
339,5.0,6.250000000020806e-10
340,5.0,6.250000000020865e-10
341,5.0,6.250000000020307e-10
342,5.0,6.250000000020321e-10
343,5.0,6.250000000019371e-10
344,5.0,6.250000000018564e-10
345,5.0,6.250000000017874e-10
346,5.0,6.250000000020625e-10
347,5.0,6.250000000019777e-10
348,5.0,6.250000000017127e-10
349,5.0,6.250000000013624e-10
350,5.0,6.25000000001233e-10
351,5.0,6.250000000011394e-10
352,5.0,6.250000000012197e-10
353,5.0,6.250000000009848e-10
354,5.0,6.250000000010698e-10
355,5.0,6.25000000001326e-10
356,5.0,6.25000000001466e-10
357,5.0,6.250000000015507e-10
358,5.0,6.250000000016709e-10
359,5.0,6.250000000017265e-10
360,5.0,6.250000000015963e-10
361,5.0,6.250000000015899e-10
362,5.0,6.250000000016502e-10
363,5.0,6.250000000017127e-10
364,5.0,6.250000000014738e-10
365,5.0,6.250000000015433e-10
366,5.0,6.250000000017381e-10
367,5.0,6.250000000015736e-10
368,5.0,6.250000000017257e-10
369,5.0,6.250000000016296e-10
370,5.0,6.250000000015459e-10
371,5.0,6.250000000014698e-10
372,5.0,6.250000000013477e-10
373,5.0,6.25000000001086e-10
374,5.0,6.250000000012786e-10
375,5.0,6.25000000001556e-10
376,5.0,6.250000000017372e-10
377,5.0,6.250000000016447e-10
378,5.0,6.250000000016313e-10
379,5.0,6.250000000015875e-10
380,5.0,6.250000000014897e-10
381,5.0,6.250000000013222e-10
382,5.0,6.250000000013172e-10
383,5.0,6.250000000013386e-10
384,5.0,6.250000000011605e-10
385,5.0,6.250000000012608e-10
386,5.0,6.250000000010665e-10
387,5.0,6.250000000011518e-10
388,5.0,6.250000000010634e-10
389,5.0,6.250000000011474e-10
390,5.0,6.250000000011005e-10
391,5.0,6.250000000012143e-10
392,5.0,6.250000000010499e-10
393,5.0,6.25000000001173e-10
394,5.0,6.250000000009665e-10
