t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
140,523,0.7135343143898123,0.0013643103525617826,0.3673016962737864,0.01590266069866298,0.5577410550383227,0.03943158161243702,1.0000000000000004
141,527,0.7088954283265847,0.0013451526154204642,0.36583016485832753,0.015842944366214192,0.5561620069101996,0.03921229622799522,0.9999999999999999
142,530,0.7042589486976144,0.001328790469240782,0.3643800252511545,0.01578399036500092,0.5545999928702009,0.03899662639291037,1.0
143,532,0.6996255843192631,0.001315085684810645,0.36295101678624364,0.01572578491280866,0.5530546578403034,0.03878449324715184,0.9999999999999999
144,535,0.6949960292197814,0.0012990579985416475,0.3615427328340971,0.015668314544631648,0.5515257490264716,0.038575820108597,0.9999999999999998
145,538,0.6903709626631342,0.0012832174027195805,0.36015495601864317,0.015611566106446718,0.5500132662801037,0.03837053239939235,1.0000000000000002
146,541,0.6857510491832443,0.0012675620132777158,0.3587873376302188,0.015555526748903079,0.5485170402809448,0.03816855757529202,0.9999999999999999
147,544,0.6811369386281974,0.0012520899607135982,0.35743961229568405,0.015500183920954244,0.5470367325945343,0.03796982505783316,1.0000000000000002
148,546,0.6765292662139665,0.0012390645901354698,0.35611138021072314,0.015446829417831553,0.5455720940748203,0.03777426616921478,0.9999999999999999
149,549,0.6719286525872137,0.0012239137569894603,0.35480233252081844,0.015394185799621188,0.5441230869757986,0.03758181406975405,1.0
150,552,0.6673357038967542,0.0012089414925665837,0.35351204537323216,0.015342159292967781,0.5426895666422521,0.03739240369780065,0.9999999999999997
151,554,0.6627510118732609,0.0011963014654752001,0.3522402542477039,0.015290739902490053,0.5412713882138446,0.03720597171199629,0.9999999999999999
152,557,0.6581751539168136,0.0011816430052366492,0.35098666128348005,0.015239917850130095,0.5398684124942218,0.037022456435772226,1.0
153,559,0.6536086931918941,0.00116924632055795,0.34975128795480115,0.015189683570655966,0.5384804027976231,0.0368417978039833,1.0000000000000002
154,562,0.6490521787294476,0.001154897115176953,0.3485337986221258,0.015140027707149662,0.5371071100448895,0.0366639373115825,1.0
155,564,0.6445061455356353,0.0011427413927936796,0.34733363986221233,0.015090941106493774,0.5357484041834552,0.036488817964244545,1.0
156,567,0.6399711147069138,0.001128696851334945,0.3461505410040938,0.015042938043898474,0.5344039578080945,0.036316384230852115,0.9999999999999999
157,569,0.6354475935510865,0.0011167796020229992,0.34498451076381487,0.014996134974677404,0.5330736942029154,0.03614658199776263,1.0
158,571,0.6309360757139835,0.0011049668576427031,0.343835146275762,0.014949835839479798,0.5317574686225097,0.035979358524777266,0.9999999999999998
159,574,0.6264370413114303,0.0010913537305077183,0.3427023123510897,0.014904033525969322,0.5304551203217941,0.03581466240273863,1.0000000000000002
160,576,0.6219509570661814,0.0010797759671287873,0.34158551377920876,0.014858721060868987,0.5291664573795125,0.035652443512686115,0.9999999999999997
161,578,0.6174782764494962,0.0010683015163486093,0.3404846709031681,0.01481389160715118,0.5278914053323973,0.035492652986502615,1.0
162,581,0.6130194398270539,0.00105511091192264,0.3393993980364195,0.0147695384612265,0.5266297958180721,0.035335243168988506,1.0000000000000002
163,583,0.6085748746088995,0.0010438677094492272,0.33832969128524815,0.01472565505013872,0.5253814694538286,0.03518016758130278,0.9999999999999999
164,585,0.6041449954031346,0.001032726487868606,0.33727523819856037,0.014682234928772152,0.5241461844497182,0.03502738088571343,0.9999999999999999
165,587,0.5997302041730685,0.0010216868895622973,0.3362357238823807,0.014639271777076988,0.5229238037491493,0.03487683885160268,0.9999999999999997
166,589,0.5953308903975512,0.001010748540573092,0.3352110576807171,0.014596759397317713,0.521714196195426,0.03472849832267451,1.0000000000000002
167,591,0.5909474312342273,0.000999911051157745,0.3342013153006188,0.014554691711348803,0.5205171527705101,0.03458231718531525,0.9999999999999999
168,593,0.5865801916854498,0.0009891740163329677,0.33320602828378576,0.014513062757921667,0.5193325678110172,0.03443825433805949,1.0000000000000004
169,596,0.5822295247666072,0.000976895175782898,0.33222496322182127,0.014471866690026041,0.5181602682725093,0.03429626966211654,0.9999999999999998
170,598,0.5778957716766159,0.0009663808890913309,0.3312577901278265,0.014431097772268814,0.517000146786804,0.03415632399291431,0.9999999999999997
171,600,0.5735792619703557,0.0009559654366172595,0.33030437567716314,0.01439075037829262,0.5158520564442913,0.034018379092619795,1.0
172,602,0.5692803137328131,0.0009456483616824137,0.32936448316419303,0.014350818988236414,0.5147158712062729,0.03388239762359679,0.9999999999999999
173,603,0.5649992337547207,0.0009369804871554241,0.32843782307859803,0.014311298186239711,0.5135914849226532,0.03374834312276381,1.0000000000000002
174,605,0.5607363177094848,0.000926836888776008,0.32752427204991713,0.014272182657991905,0.5124787589832501,0.03361617997681662,0.9999999999999998
175,607,0.5564918503311931,0.0009167905277284894,0.32662361258532546,0.014233467188327981,0.511377580210019,0.03348587339828114,1.0000000000000002
176,609,0.5522661055935183,0.0009068408958842665,0.32573578658748964,0.014195146658871338,0.5102877350715875,0.0333573894023646,1.0000000000000004
177,611,0.5480593468893212,0.0008969874744506076,0.3248604705767719,0.014157216045724673,0.5092091547294135,0.033230694784573786,0.9999999999999999
178,613,0.5438718272107839,0.0008872297344384728,0.32399740703332525,0.014119670417209204,0.5081416321396253,0.03310575709907079,1.0
179,615,0.5397037893298946,0.0008775671371217799,0.32314649267546763,0.014082504931652674,0.5070850302638611,0.032982544637737955,0.9999999999999999
180,616,0.5355554659791222,0.0008694082239920815,0.32230749060217995,0.01404571483522629,0.5060392515802189,0.032861026409925005,1.0
181,618,0.5314270800321252,0.0008599143689840214,0.32148036551664827,0.014009295459830566,0.5050041506492454,0.03274117212285254,0.9999999999999998
182,620,0.5273188446843406,0.0008505142656199042,0.320665044066678,0.01397324222103,0.5039795973906783,0.03262295216264698,1.0000000000000002
183,622,0.5232309636333119,0.0008412073370310481,0.3198611770458814,0.013937550616036387,0.5029655260982706,0.03250633757598343,0.9999999999999999
184,623,0.5191636312586185,0.0008333284610892753,0.31906872854624024,0.013902216221740255,0.5019618056098304,0.032391300052313825,1.0
185,625,0.5151170328012754,0.0008241872524820407,0.318287529432631,0.013867234692790375,0.5009683049517817,0.03227781190665852,0.9999999999999999
186,627,0.511091344542479,0.0008151377105940653,0.31751727409655245,0.013832601759720373,0.4999849166626571,0.032165846062940776,0.9999999999999998
187,628,0.5070867339815808,0.0008074629521999694,0.3167579455493877,0.013798313227122343,0.4990115924705302,0.032055376037844,0.9999999999999998
188,630,0.503103360013178,0.0007985767619256794,0.31600944028394023,0.013764364971866493,0.4980481083540795,0.03194637592517295,0.9999999999999997
189,631,0.49914137310321377,0.0007910322870098475,0.3152716309207812,0.013730752941366307,0.4970943844164345,0.0318388203807004,1.0000000000000002
190,633,0.49520091546398526,0.0007823079233238313,0.3145442212701897,0.013697473151888498,0.49615034495476873,0.031732684607482,0.9999999999999999
191,634,0.49128212122796816,0.0007748929356908015,0.31382716523199355,0.01366452168690696,0.4952158155441972,0.03162794434162235,1.0
192,636,0.4873851166203652,0.0007663287997175553,0.31312035455724346,0.013631894695499922,0.4942907078736444,0.031524575838476364,0.9999999999999998
